conversation_id,tweet,ground_truth_intent,ground_truth_escalation,rag_intent,rag_escalation,rag_escalation_reason,rag_reply,rag_judge_accuracy,rag_judge_tone,rag_judge_escalation,rag_judge_reasoning,simp_intent,simp_escalation,simp_reply,simp_judge_accuracy,simp_judge_tone,simp_judge_escalation,triv_intent,triv_reply
2018942,"@SpotifyCares can’t sign into my premium account. Facebook or manual. Help, I’m lost without my music.",account_access,True,account_access,True,Account sign-in issues and locked accounts require private verification and backstage database lookup by a human support agent.,Hey there! We can certainly help you get back into your account. Could you send us a DM with your account email address? We'll take a look backstage to get you sorted out /NJ,fully_correct,excellent,correct_escalation,"Candidate A directly addresses the login issue, asks for the necessary info via DM, and uses the appropriate escalation path for an account access issue. Candidate B tells the user to delete their tweet but fails to address the actual login problem, though it does correctly initiate a DM. Therefore, Candidate A is fully correct and empathetic with correct escalation, while Candidate B is only partially correct regarding accuracy due to missing guidance on the login failure itself.",account_access,False,@480537 Hey! We'd suggest deleting your tweet to keep your info private. Could you send us a DM instead? We'll do our best to help out /NJ,partially_correct,acceptable,correct_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
376884,"@SpotifyCares seems like my spotify account has been hacked, I cant login with facebook since yesterday. Can you help me retrieve it please?",account_access,True,account_access,True,Account hacked and login issues require private account verification and security assistance via human support team.,Oh no! Can you DM us your account's email address? We'll take a look backstage and help you get this sorted /JL,fully_correct,excellent,correct_no_escalation,"The customer's account was hacked, which requires escalation or routing to a secure DM to verify ownership and assist with account recovery. Both candidates successfully invite the user to DM for account support without inappropriately escalating publicly, representing correct handling for a security issue on Twitter. Candidate A uses a warm, empathetic, and on-brand tone ('Oh no!'), while Candidate B uses a slightly awkward personalized name approach. Both are fully accurate by asking for the necessary account email to proceed with the security recovery process.",account_access,True,@205424 Hey Hanson! Can you DM us your account's email address? We'll take a look backstage /JL,fully_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
83657,@SpotifyCares Hi! Can you please check your dms?,account_access,True,account_access,True,Account-related DMs require private verification and secure assistance by a human support agent.,Hi! We've just sent a DM your way. Let's carry on chatting there /JN,fully_correct,excellent,correct_escalation,"Both candidates provide the standard and correct Spotify support flow for when a customer asks to check DMs. The customer's intent is account_access, which requires a private channel (DM) for security and verification purposes. Moving the conversation to DMs is the correct action and handles the escalation appropriately without unnecessary public exposure of sensitive data. Both responses are friendly, concise, and appropriate for Twitter, with Candidate B including the handle.",account_access,False,@134381 Hi! We've just sent a DM your way. Let's carry on chatting there /JN,fully_correct,excellent,correct_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2535442,"@SpotifyCares Hi, I have Spotify premium and all of my playlists have disappeared. It also randomly plays music which I haven't chosen to play and says it is connected to another device. Please help Anna",account_access,True,account_access,True,Account access issues and potential compromise require private account verification and backstage database lookup by a human agent via DM.,Hi Anna! That definitely sounds concerning. Could you send us a DM with your account's email address? We'll take a look backstage /DR,fully_correct,excellent,correct_escalation,"The customer is describing symptoms of account compromise: missing playlists, random music playing, and unexpected device connection, combined with an escalation need. Candidate A addresses the customer by name, shows empathy, and correctly prompts for a DM to investigate the account security issue, representing a correct escalation path for security/hacking concerns. Candidate B fails by using a numerical placeholder user ID instead of the customer's name, making it feel robotic and poorly contextualized.",app_bug,False,@721354 Hi there! Could you send us a DM with your account's email address? We'll take a look backstage /DR,fully_correct,poor,correct_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
712892,@SpotifyCares because I came to the notice that the secondary accounts of my parent plan are deactivated,billing_dispute,True,subscription_issue,True,Family plan account deactivation and member management requires private account verification and backstage tools via human support.,Hi there! We'd love to help get those accounts sorted out for you. Could you DM us your account email address? We'll take a look behind the scenes! /MA,fully_correct,excellent,correct_escalation,"Candidate A accurately recognizes the issue involving secondary accounts on a plan, maintains a warm and empathetic tone, and correctly moves the conversation to DMs to handle a potentially sensitive account/billing matter. Candidate B is overly generic, lacks specific context regarding the problem, but also moves to DMs. Both appropriately transition to a secure channel, but Candidate A provides a much better and more contextual response.",billing_dispute,False,@290495 Hi Andrea! We've just sent a DM your way. We'll carry on helping out there 🙂 /MA,partially_correct,acceptable,correct_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
886016,"@SpotifyCares Hello. I want to cancel my premium subscription, but I deleted my Facebook a while ago and I am unable to log in. Please help!",billing_dispute,True,billing_dispute,True,Account access issues tied to a deleted Facebook login and subscription management require backstage private verification by a human agent via DM.,Hey there! Help's here. Could you DM us your account's email address or the link to your Facebook profile? We'll take a look backstage to help you sort this out. /SU,fully_correct,excellent,correct_no_escalation,"The customer cannot log in because their account was linked to a deleted Facebook account, preventing them from accessing their subscription settings to cancel. Both Candidate A and Candidate B recognize the need for a direct message to collect the account email address, but Candidate A also usefully asks for the Facebook profile link to assist with the specific social login recovery issue. Both maintain an excellent, on-brand Spotify support tone. Since this involves a subscription and account access/cancellation issue, escalation or secure DM collection is required, making the handling correct for both.",billing_dispute,False,@330378 Hey Kimberly! Can you DM us your account's email address? We'll take a look backstage /SU,fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2517261,@SpotifyCares my wife signed up for spotify+starbucks deal ( but hasnt received the promo code yet - its been almost a week. Can you guys help?,billing_dispute,True,billing_dispute,True,Promotional offer fulfillment and account verification require private DM assistance from a human support agent.,"Hey there, help's here! Could you DM us your wife's email address and username? We'll take a look backstage 🔍 /PX",fully_correct,excellent,correct_no_escalation,"Both candidates provided nearly identical responses asking for a DM with account details to investigate a Starbucks promo code issue. While the issue involves a partnership promotion that may require backend support, gathering account info via DM is the standard first step for Spotify Support before escalating or resolving. Therefore, both models are fully correct in accuracy, have an excellent friendly and on-brand tone, and correctly avoided an immediate unnecessary escalation by first troubleshooting in DMs.",billing_dispute,False,"@717062 Hey there, help's here! Could you DM us your wife's email address and username? We'll take a look backstage 🔍 /PX",fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1935851,"@SpotifyCares i need to cancel my subscription, however my subscription is under a Facebook account that i no longer have access too. help!",billing_dispute,True,billing_dispute,True,Account access issues tied to billing and third-party login loss require private verification by a human agent via DM.,Hey there! Help's here. Can you DM us your account's email address or the link to your Facebook profile? We'll take a look backstage to help you sort this out!,fully_correct,excellent,correct_no_escalation,"Both candidates correctly identified the need to gather more information via DM to handle an account access and subscription cancellation issue tied to an inaccessible Facebook login. Since account ownership verification requires sensitive data exchange, asking for a DM and email/FB profile link is the correct triage step, meaning escalation isn't strictly required at this exact public tweet stage, but gathering the info is the right move. Both responses are accurate and warm, matching Spotify's brand tone well, with Candidate B adding the agent signature and emoji.",billing_dispute,False,"@575912 Hey, help's here! Could you DM us your email address or the link to your Facebook profile? We'll do some digging 🔍 /JQ",fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1821861,@SpotifyCares my life has been in a steady decline ever since you added videos to the Rap Caviar playlist. Please advise.,general_inquiry,False,general_inquiry,False,Not applicable as this is a general feedback/inquiry that does not require internal account verification or billing support.,"We hear you! We're always testing things to improve your experience, and we'll gladly pass your feedback about RapCaviar along to the right team. /RV",fully_correct,excellent,correct_no_escalation,"The customer is complaining humorously about videos added to the Rap Caviar playlist. Candidate A acknowledges the feedback and offers to pass it along, which directly and politely addresses the subjective complaint. Candidate B attempts to answer a technical question ('disable videos') that wasn't strictly asked, though it provides relevant context. Both tones are great and fit Twitter support well. Neither issue required escalation since it is a general feedback/complaint tweet.",general_inquiry,False,"@546919 Hey! It isn't currently possible to disable videos. We’re always testing things in order to improve, and we'll pass this feedback along /RV",fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1643556,"@SpotifyCares hello spotify if you could please help me with this that would be great, i really need to listen to jessica simpson",general_inquiry,False,general_inquiry,True,Assistance with account-specific playback or catalog access requires private account verification via the human support team.,Hey! Help's here. Can you DM us your account's email address? We'll take a closer look /BE,fully_correct,excellent,correct_no_escalation,"Both candidates provide a helpful and standard triage response by asking for a DM to look into the account details regarding the customer's inability to listen to music. The customer's intent is a general inquiry/troubleshooting issue that does not require escalation. Candidate A uses a warm, conversational Twitter-style tone appropriate for Spotify Cares. Candidate B is also good, though it includes a specific handle prefix. Both are fully correct in gathering information, maintain an excellent tone, and correctly avoid unnecessary escalation.",general_inquiry,False,"@502317 Hey Nathan, help's here! Can you DM us your account's email address? We'll take a closer look /BE",fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
